surfer_id,surfer_name,country,event_id,event_name,event_location,tour_type,event_final_position,event_points_earned,event_start_date,event_end_date,event_avg_heat_score,event_avg_wave_score,heat_id,round_name,heat_position,heat_total_score,heat_advanced,heat_date,wave_scores
12612,Yago Dominguez,Basque Country,4889,Burton Automotive Newcastle Surfest presented by Bonsoy,Unknown,MCS,33,700.0,2025-06-02,2025-06-08,10.93,3.04,heat_106829,Round of 64 - Heat 16,3,10.26,False,,3.17|0.37|0.37|5.83|2.33|1.43|1.5|2.6|4.17|0.3|4.43
12612,Yago Dominguez,Basque Country,4889,Burton Automotive Newcastle Surfest presented by Bonsoy,Unknown,MCS,33,700.0,2025-06-02,2025-06-08,10.93,3.04,heat_106813,Round of 80 - Heat 8,2,11.6,True,,2.67|3.87|4.03|4.53|7.07
12612,Yago Dominguez,Basque Country,4921,Ballito Pro presented by O'Neill,Unknown,MCS,33,700.0,2025-06-30,2025-07-06,8.42,1.93,heat_107533,Round of 64 - Heat 16,3,8.5,False,,0.5|1.07|3.17|0.27|0.23|1.73|5.33|0.73
12612,Yago Dominguez,Basque Country,4921,Ballito Pro presented by O'Neill,Unknown,MCS,33,700.0,2025-06-30,2025-07-06,8.42,1.93,heat_107517,Round of 80 - Heat 8,2,8.34,True,,4.67|3.67|0.5|0.37|2.9
12612,Yago Dominguez,Basque Country,4929,Lexus US Open of Surfing,Unknown,MCS,49,600.0,2025-07-26,2025-08-03,9.06,3.34,heat_108135,Round of 64 - Heat 5,4,8.27,False,,2.0|5.67|2.6
12612,Yago Dominguez,Basque Country,4929,Lexus US Open of Surfing,Unknown,MCS,49,600.0,2025-07-26,2025-08-03,9.06,3.34,heat_108125,Round of 80 - Heat 3,1,9.84,True,,2.67|0.87|3.83|4.67|5.17|2.27|2.73|4.3
12612,Yago Dominguez,Basque Country,4813,Pro Taghazout Bay,Unknown,MQS,25,400.0,2025-02-22,2025-03-01,9.38,3.49,heat_93016,Round of 32 - Heat 8,4,7.76,False,,2.33|3.43|0.43|4.33
12612,Yago Dominguez,Basque Country,4813,Pro Taghazout Bay,Unknown,MQS,25,400.0,2025-02-22,2025-03-01,9.38,3.49,heat_1585,Round of 64 - Heat 15,1,11.0,True,,4.5|6.5|2.9
12612,Yago Dominguez,Basque Country,4872,Caparica Surf Fest 2025,Unknown,MQS,5,1423.0,2025-04-15,2025-04-19,11.78,3.29,heat_93398,Quarterfinals - Heat 4,2,11.4,False,,5.83|5.07|5.57|0.4|1.67|1.23|0.5|0.9
12612,Yago Dominguez,Basque Country,4872,Caparica Surf Fest 2025,Unknown,MQS,5,1423.0,2025-04-15,2025-04-19,11.78,3.29,heat_84034,Round of 16 - Heat 4,1,12.67,True,,6.17|3.93|4.07|6.5|1.1
12612,Yago Dominguez,Basque Country,4872,Caparica Surf Fest 2025,Unknown,MQS,5,1423.0,2025-04-15,2025-04-19,11.78,3.29,heat_44381,Round of 32 - Heat 6,2,12.23,True,,3.5|0.5|5.83|4.07|4.23|5.27|6.4
12612,Yago Dominguez,Basque Country,4872,Caparica Surf Fest 2025,Unknown,MQS,5,1423.0,2025-04-15,2025-04-19,11.78,3.29,heat_17559,Round of 64 - Heat 11,1,10.83,True,,4.5|0.6|3.4|3.6|0.5|0.43|6.33|2.3|1.67|2.77
12612,Yago Dominguez,Basque Country,4937,Caraïbos Lacanau Pro,Unknown,MQS,33,140.0,2025-07-08,2025-07-13,11.76,2.61,heat_17612,Round of 64 - Heat 1,3,11.76,False,,1.1|0.33|2.73|5.83|4.43|0.37|5.93|1.37|1.43
12612,Yago Dominguez,Basque Country,4933,Boardmasters Open 2025,Unknown,MQS,7,840.0,2025-08-06,2025-08-10,11.94,3.51,heat_53936,Semifinals - Heat 2,4,9.5,False,,4.33|0.5|1.5|3.17|5.17|3.43
12612,Yago Dominguez,Basque Country,4933,Boardmasters Open 2025,Unknown,MQS,7,840.0,2025-08-06,2025-08-10,11.94,3.51,heat_51478,Quarterfinals - Heat 3,1,12.03,True,,5.9|0.33|5.63|0.5|4.63|6.13|0.5
12612,Yago Dominguez,Basque Country,4933,Boardmasters Open 2025,Unknown,MQS,7,840.0,2025-08-06,2025-08-10,11.94,3.51,heat_80007,Round of 32 - Heat 5,1,13.67,True,,6.0|2.2|0.43|7.67|5.63|3.8|3.97
12612,Yago Dominguez,Basque Country,4933,Boardmasters Open 2025,Unknown,MQS,7,840.0,2025-08-06,2025-08-10,11.94,3.51,heat_20744,Round of 64 - Heat 9,1,12.57,True,,7.4|0.5|5.17|0.93|2.43
12612,Yago Dominguez,Basque Country,4140,Junior Pro Morocco Mall,Unknown,MJUN,33,66.0,2022-05-04,2022-05-08,9.67,3.32,heat_20127,Round of 64 - Heat 10,3,9.67,False,,4.5|1.87|2.37|4.77|1.53|4.9
12612,Yago Dominguez,Basque Country,4025,Cabreiroa Junior Pro Ferrol,Unknown,MJUN,1,1000.0,2022-05-11,2022-05-15,15.97,5.21,heat_13451,Final,1,15.93,True,,4.5|4.57|6.67|7.0|6.63|8.93
