surfer_id,surfer_name,year,event_name,location,country,tour_type,wave_type,final_position,points_earned
7288,Nadia Erostarbe,2025,Lexus Pipe Pro presented by YETI,Event resultsWomen's Championship TourWomen's Challenger SeriesWomen's Qualifying SeriesWomen's Junior Tour2025,Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2025,Lexus Pipe Pro presented by YETI,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2025,Surf City El Salvador Pro,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2025,Rip Curl Pro Bells Beach presented by Bonsoy,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2025,Bonsoy Gold Coast Pro presented by GWM,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2025,Western Australia Margaret River Pro,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2024,Lexus Pipe Pro presented by YETI,Event resultsWomen's Championship TourWomen's Challenger SeriesWomen's Qualifying SeriesWomen's Junior Tour2025,Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2024,Lexus Pipe Pro presented by YETI,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2024,Surf City El Salvador Pro,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2024,Rip Curl Pro Bells Beach presented by Bonsoy,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2024,Bonsoy Gold Coast Pro presented by GWM,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2024,Western Australia Margaret River Pro,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2023,Lexus Pipe Pro presented by YETI,Event resultsWomen's Championship TourWomen's Challenger SeriesWomen's Qualifying SeriesWomen's Junior Tour2025,Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2023,Lexus Pipe Pro presented by YETI,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2023,Surf City El Salvador Pro,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2023,Rip Curl Pro Bells Beach presented by Bonsoy,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2023,Bonsoy Gold Coast Pro presented by GWM,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2023,Western Australia Margaret River Pro,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2022,Lexus Pipe Pro presented by YETI,Event resultsWomen's Championship TourWomen's Challenger SeriesWomen's Qualifying SeriesWomen's Junior Tour2025,Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2022,Lexus Pipe Pro presented by YETI,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2022,Surf City El Salvador Pro,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2022,Rip Curl Pro Bells Beach presented by Bonsoy,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2022,Bonsoy Gold Coast Pro presented by GWM,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2022,Western Australia Margaret River Pro,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2021,Lexus Pipe Pro presented by YETI,Event resultsWomen's Championship TourWomen's Challenger SeriesWomen's Qualifying SeriesWomen's Junior Tour2025,Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2021,Lexus Pipe Pro presented by YETI,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2021,Surf City El Salvador Pro,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2021,Rip Curl Pro Bells Beach presented by Bonsoy,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2021,Bonsoy Gold Coast Pro presented by GWM,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2021,Western Australia Margaret River Pro,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2020,Lexus Pipe Pro presented by YETI,Event resultsWomen's Championship TourWomen's Challenger SeriesWomen's Qualifying SeriesWomen's Junior Tour2025,Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2020,Lexus Pipe Pro presented by YETI,(REP),Unknown,Championship Tour,Beach Break,,
7288,Nadia Erostarbe,2020,Surf City El Salvador Pro,(REP),Unknown,Championship Tour,Beach Break,,
