ID,Name,Country,Events_2025,Total_Heats,Tours
2229,Aaron Romero,Canary Islands,0,0,
4711,Adrian Lopez Pena,Spain,1,1,MJUN
2215,Adrian Vega Concepcion,Canary Islands,0,0,
4460,Adrian Zorriketa,Basque Country,9,12,"MQS, MJUN"
16664,Adriana Fernandez Hidalgo,Canary Islands,1,1,WQS
1871,Adriane Navarro,Canary Islands,0,0,
10158,Adur Amatriain,Basque Country,6,16,"MQS, MCS"
7120,Adur Letamendia,Basque Country,2,2,MBWT
535,Aider Pico,Basque Country,0,0,
2705,Ainara Aymat,Basque Country,10,15,"MQS, WJUN, WQS"
7815,Airam De Juan Perez,Canary Islands,1,0,MJUN
9519,Airam De Juan Pérez,Spain,1,1,MJUN
4465,Airam Perez,Canary Islands,1,0,MJUN
8855,Aitana Irulegi,Basque Country,2,3,WJUN
756,Aitor Cabandibar,Spain,0,0,
10125,Aitor Fuentes Pavón,Canary Islands,3,4,MJUN
10624,Aitor Fuentes Pavon,Canary Islands,0,0,
19221,Alaitz Castro Cabada,Spain,2,4,WLT
7220,Alazne Aurrekoetxea,Basque Country,0,0,
15605,Alba Mediavilla,Spain,1,1,WJUN
4714,Alba Rodriguez Lloves,Spain,2,2,"WJUN, WQS"
7547,Alberto Fernandez,Spain,3,6,MLT
5224,Alberto Garcia,Canary Islands,0,0,
13565,Alberto Garcia Deniz,Canary Islands,0,0,
2213,Alberto Garcia Deniz,Canary Islands,0,0,
7525,Alberto Martinez,Spain,1,1,MQS
16092,Aldo Garcia,Spain,1,1,MJUN
13053,Alejandra Balboa,Spain,3,3,"WJUN, WQS"
14406,Alejandro Diaz,Canary Islands,1,2,MQS
1857,Alejandro Diaz,Canary Islands,0,0,
5661,Alejandro Diaz Luque,Canary Islands,0,0,
7534,Alejandro Martinez Barona Jordan,Spain,1,1,MJUN
16123,Alejandro Montañés Gallardo,Spain,0,0,
3322,Alejandro Ruiz Garcia,Canary Islands,1,2,MQS
15942,Alejandro Sancho,Spain,2,6,MJUN
15943,Alejandro Sancho,Spain,0,0,
20547,Alejo Ferreiro,Spain,0,0,
15930,Alejo Freitas,Spain,4,4,"MQS, MJUN"
19212,Alejo Linares,Spain,1,2,MJUN
19124,Alejo Valido,Spain,2,3,MJUN
